word,lemma
compressible,compressible
computational,computational
concentric,concentric
confluence,confluence
congolese,congolese
coniferous,coniferous
considerably,considerably
contiguous,contiguous
continual,continual
continually,continually
continuous,continuous
contrastingly,contrastingly
controversial,controversial
conventional,conventional
conversely,conversely
creative,creative
creek,creek
cretaceous,cretaceous
critical,critical
critically,critically
crossmark,crossmark
crucial,crucial
crustacea,crustacea
cultural,cultural
cumulative,cumulative
curated,curated
czech,czech
dangerous,dangerous
dangerously,dangerously
december,december
decisive,decisive
decorative,decorative
decrepit,decrepit
deeply,deeply
deepwater,deepwater
delicious,delicious
delightful,delightful
delta,delta
democratic,democratic
densely,densely
departmental,departmental
dependable,dependable
desertification,desertification
desperate,desperate
destructive,destructive
diagonally,diagonally
difficult,difficult
dimensional,dimensional
diplomatic,diplomatic
directly,directly
disobedient,disobedient
disparate,disparate
distant,distant
distinctive,distinctive
diverse,diverse
diverter,diverter
divisible,divisible
doctoral,doctoral
dominican,dominican
downriver,downriver
downstream,downstream
dramatically,dramatically
drastically,drastically
dutch,dutch
easily,easily
eastern,eastern
ecodevelopment,ecodevelopment
ecodistrict,ecodistrict
ecohydrological,ecohydrological
ecohydrology,ecohydrology
ecological,ecological
ecologically,ecologically
economic,economics
economically,economically
economics,economics
ecoregion,ecoregion
ecotourism,ecotourism
ecotoxicity,ecotoxicity
ecotoxicological,ecotoxicological
educational,educational
egyptian,egyptian
electronic,electronics
electronics,electronics
elegant,elegant
english,english
enjoyable,enjoyable
enormous,enormous
environmental,environmental
eocene,eocene
essentially,essentially
estuarine,estuarine
ethiopian,ethiopian
ethnically,ethnically
ethnobotanical,ethnobotanical
ethylbenzene,ethylbenzene
euclidian,euclidian
european,european
evaluative,evaluative
evapotranspiration,evapotranspiration
eventual,eventual
eventually,eventually
everyday,everyday
evident,evident
evidently,evidently
evolutionary,evolutionary
evolvement,evolvement
excellent,excellent
exceptional,exceptional
excessive,excessive
exclusively,exclusively
exemplary,exemplary
expansive,expansive
expat,expat
expeditionary,expeditionary
expensive,expensive
experiential,experiential
experimental,experimental
exploratory,exploratory
explosively,explosively
exquisitely,exquisitely
extensional,extensional
extensive,extensive
extradosed,extradosed
extraordinary,extraordinary
extravagant,extravagant
extremely,extremely
exuberant,exuberant
fabulous,fabulous
factly,factly
factsheet,factsheet
faecal,faecal
fairless,fairless
fairly,fairly
fairplay,fairplay
famous,famous
february,february
fecal,fecal
federative,federative
fictional,fictional
filamented,filamented
filamentous,filamentous
filarial,filarial
filippo,filippo
finalised,finalised
finally,finally
finally,finally
fishable,fishable
fishway,fishway
flemish,flemish
flexible,flexible
floodable,floodable
floodway,floodway
fluent,fluent
fluvial,fluvial
fluviomarine,fluviomarine
focussing,focussing
fondly,fondly
foreign,foreign
formally,formally
fossilised,fossilised
freely,freely
french,french
frequently,frequently
freshly,freshly
friday,friday
frontline,frontline
functionality,functionality
funerary,funerary
generally,generally
generous,generous
gently,gently
genuine,genuine
geochemical,geochemical
geochronology,geochronology
geodetic,geodetic
geoecological,geoecological
geoecology,geoecology
geogenic,geogenic
geographic,geographic
geographical,geographical
geographically,geographically
geologic,geologic
geological,geological
geomorphic,geomorphic
geomorphological,geomorphological
geopolitical,geopolitical
glacial,glacial
global,global
globally,globally
glorious,glorious
gloriously,gloriously
gorgeous,gorgeous
gothic,gothic
governorate,governorate
governorates,governorate
gradually,gradually
grayscale,grayscale
greatly,greatly
greek,greek
greenfield,greenfield
greenish,greenish
gregorian,gregorian
grossly,grossly
guiral,guiral
halfway,halfway
hazardous,hazardous
headflow,headflow
headstream,headstream
headstreams,headstream
headwater,headwater
headwaters,headwater
heavily,heavily
hectic,hectic
highly,highly
hindi,hindi
histopathological,histopathological
historic,historic
historical,historical
historically,historically
holistic,holistic
holocene,holocene
hydraulic,hydraulics
hydraulics,hydraulics
hydrobiological,hydrobiological
hydrobiology,hydrobiology
hydrochemical,hydrochemical
hydrodynamic,hydrodynamics
hydrodynamics,hydrodynamics
hydroelectric,hydroelectrics
hydroelectrics,hydroelectrics
hydrogeochemical,hydrogeochemical
hydrogeochemistry,hydrogeochemistry
hydrogeologic,hydrogeologic
hydrogeological,hydrogeological
hydrogeology,hydrogeology
hydrogeomorphological,hydrogeomorphological
hydrogeomorphology,hydrogeomorphology
hydrograph,hydrograph
hydrographic,hydrographic
hydrological,hydrological
hydrologically,hydrologically
hydrometric,hydrometric
hydrometrical,hydrometrical
hydromorphological,hydromorphological
hydromorphology,hydromorphology
hydropolitics,hydropolitics
hydropower,hydropower
hyperlapse,hyperlapse
hypsometric,hypsometric
ichthyofauna,ichthyofauna
ichthyological,ichthyological
iconic,iconic
identical,identical
identifier,identifier
idyllic,idyllic
igneous,igneous
immaculate,immaculate
immeasurably,immeasurably
immediately,immediately
immemorial,immemorial
immersive,immersive
impassable,impassable
impenetrable,impenetrable
impetuous,impetuous
important,important
impressive,impressive
impressively,impressively
inaccessible,inaccessible
inactive,inactive
inadequate,inadequate
inappropriate,inappropriate
inbound,inbound
incessant,incessant
inclusive,inclusive
incomparable,incomparable
incomparably,incomparably
incomplete,incomplete
increasingly,increasingly
incredible,incredible
incredibly,incredibly
indefinite,indefinite
independently,independently
indigenous,indigenous
indirectly,indirectly
indiscriminate,indiscriminate
indisputable,indisputable
indoor,indoor
industrialisation,industrialisation
industrious,industrious
inefficient,inefficient
inexhaustible,inexhaustible
inextricable,inextricable
inextricably,inextricably
infact,infact
infamous,infamous
infamously,infamously
infinitely,infinitely
inflowed,inflowed
influent,influent
infrequent,infrequent
infrequently,infrequently
initially,initially
innumerable,innumerable
inorganic,inorganic
intact,intact
intelligent,intelligent
intensively,intensively
interactive,interactive
interannual,interannual
interbasin,interbasin
interboundary,interboundary
intercoastal,intercoastal
intercontinental,intercontinental
intercountry,intercountry
intercultural,intercultural
interdisciplinary,interdisciplinary
interestingly,interestingly
interflow,interflow
interglacial,interglacial
intermittenly,intermittenly
intermittent,intermittent
intermountain,intermountain
internet,internet
interprovincial,interprovincial
intertidal,intertidal
intestinal,intestinal
intimately,intimately
intracoastal,intracoastal
intricate,intricate
introductory,introductory
invaluable,invaluable
invasive,invasive
invicible,invicible
iranian,iranian
irrigational,irrigational
islamic,islamic
island,island
isotopic,isotopic
italian,italian
iterative,iterative
january,january
japanese,japanese
jointly,jointly
july,july
june,june
jurassic,jurassic
kitesurfing,kitesurfing
kurdish,kurdish
lacustrine,lacustrine
landlocked,landlocked
largely,largely
latin,latin
leisurely,leisurely
linear,linear
literally,literally
literary,literary
lithic,lithic
lithodynamic,lithodynamic
lithuanian,lithuanian
locally,locally
lockdown,lockdown
logical,logical
logistical,logistical
macedonian,macedonian
macrobenthic,macrobenthic
macrobenthos,macrobenthos
macroinvertebrates,macroinvertebrates
macrophytes,macrophyte
madagascan,madagascan
magmatic,magmatic
magnificent,magnificent
magnificently,magnificently
majestic,majestic
manually,manually
marital,marital
maritime,maritime
marvelous,marvelous
massive,massive
mathematical,mathematical
matriarchal,matriarchal
maximal,maximal
mediterranean,mediterranean
megacities,megacity
megacity,megacity
memorable,memorable
mercure,mercure
mesoamerican,mesoamerican
mesolithic,mesolithic
mesotidal,mesotidal
mesozoic,mesozoic
metabolic,metabolic
metadata,metadata
metamorphic,metamorphic
meteorological,meteorological
methodically,methodically
methylene,methylene
meticulous,meticulous
microfinance,microfinance
microfine,microfine
microfluidics,microfluidics
microgeographical,microgeographical
micronucleus,micronucleus
microphytoplankton,microphytoplankton
microplastic,microplastic
microplastics,microplastic
microregion,microregion
microsporidian,microsporidian
microstructure,microstructure
migratory,migratory
millennia,millennium
moderately,moderately
monday,monday
mongolian,mongolian
monoculture,monoculture
monotonous,monotonous
monstrous,monstrous
morphodynamic,morphodynamic
morphologic,morphologic
morphological,morphological
morphometric,morphometric
morphometry,morphometry
mountainous,mountainous
mozambican,mozambican
multichannel,multichannel
multicolored,multicolored
multidisciplinary,multidisciplinary
multifunctional,multifunctional
multilingual,multilingual
multimodal,multimodal
multipurpose,multipurpose
multiscale,multiscale
multispectral,multispectral
multivariate,multivariate
mysterious,mysterious
mythical,mythical
mythological,mythological
mythologically,mythologically
naturalistic,naturalistic
naturally,naturally
nautic,nautic
nautical,nautical
naval,naval
navigable,navigable
navigational,navigational
nearby,nearby
necessarily,necessarily
northeastern,north-eastern
northwestern,north-western
notably,notably
noticeable,noticeable
notoriously,notoriously
nowadays,nowadays
nuclear,nuclear
numerical,numerical
numerous,numerous
oblast,oblast
observational,observational
obvious,obvious
occasional,occasional
oceanic,oceanic
october,october
offered,offer
officially,officially
olympic,olympic
olympics,olympic
ongoing,ongoing
online,online
operational,operational
optional,optional
organiser,organizer
organisers,organizer
organizational,organizational
originally,originally
outdated,outdated
outdoor,outdoors
outdoors,outdoors
overland,overland
overspeed,overspeed
overwater,overwater
panamerican,panamerican
panoramic,panoramic
paraguayan,paraguayan
parasitic,parasitic
parasitological,parasitological
partially,partially
passionate,passionate
pathetic,pathetic
peninsular,peninsular
perfectly,perfectly
perilous,perilous
periodically,periodically
permanently,permanently
permissible,permissible
perpendicularly,perpendicularly
persian,persian
phosphorous,phosphorous
photogenic,photogenic
photographic,photographic
photoshoot,photoshoot
photovoltaic,photovoltaic
photoxylograph,photoxylograph
physico,physico
physicochemical,physicochemical
physiochemical,physiochemical
physiographic,physiographic
physiographically,physiographically
physiological,physiological
phytobiogeography,phytobiogeography
phytochemicals,phytochemicals
phytoremediation,phytoremediation
pictorially,pictorially
picturesque,picturesque
pilar,pilar
pleistocene,pleistocene
pliocene,pliocene
plurinational,plurinational
political,political
politically,politically
politics,politics
polychlorinated,polychlorinated
polycyclic,polycyclic
pomeranian,pomeranian
popular,popular
popularly,popularly
populous,populous
portuguese,portuguese
possibly,possibly
potentially,potentially
powerful,powerful
practicable,practicable
practical,practical
practically,practically
precariously,precariously
precautionary,precautionary
precipitous,precipitous
precisely,precisely
predominant,predominant
predominantly,predominantly
preglacial,preglacial
pregnant,pregnant
prehistoric,prehistoric
preparatory,preparatory
presently,presently
presidential,presidential
prestigious,prestigious
previous,previous
previously,previously
primarily,primarily
pristine,pristine
productive,productive
prominent,prominent
prominently,prominently
promptly,promptly
prospection,prospection
protective,protective
proudly,proudly
qualitative,qualitative
quantitative,quantitative
quickly,quickly
rainforest,rainforest
rainforests,rainforest
rapidly,rapidly
readable,readable
readily,readily
realtime,realtime
reasonable,reasonable
reborn,reborn
recently,recently
recreational,recreational
rectangular,rectangular
regularly,regularly
regulator,regulator
relevant,relevant
reliable,reliable
remarkable,remarkable
remarkably,remarkably
remedial,remedial
reminicent,reminicent
renowned,renowned
repeatedly,repeatedly
repetitive,repetitive
reportedly,reportedly
residential,residential
respective,respective
responsible,responsible
ridiculously,ridiculously
riverfront,riverfront
riverine,riverine
riverway,riverway
riverways,riverway
romanian,romanian
romanization,romanization
roughly,roughly
roundtrip,roundtrip
routinely,routinely
ruinous,ruinous
russian,russian
sacred,sacred
safely,safely
salinization,salinization
saturday,saturday
scarcely,scarcely
scientific,scientific
scriptural,scriptural
searchable,searchable
seasonal,seasonal
seasonally,seasonally
sedimentary,sedimentary
sedimentology,sedimentology
seedlings,seedling
seemingly,seemingly
seismic,seismic
separately,separately
september,september
sequential,sequential
series,serie
serie,serie
severely,severely
shortly,shortly
siberian,siberian
significantly,significantly
similar,similar
similarly,similarly
simple,simple
simply,simply
simultaneous,simultaneous
simultaneously,simultaneously
sincerely,sincerely
sizable,sizable
slightly,slightly
slovakian,slovakian
slovenian,slovenian
slowly,slowly
southeasterly,south-easterly
southeastern,south-eastern
southwesterly,southwesterly
southwestern,south-western
spacious,spacious
spanish,spanish
spatial,spatial
spatially,spatially
spatiotemporal,spatiotemporal
specialised,specialised
specially,specially
spectrophotometric,spectrophotometric
spectroradiometer,spectroradiometer
steadily,steadily
steeply,steeply
stereograph,stereograph
stormwater,stormwater
straightforward,straightforward
strategic,strategic
strategically,strategically
stratigraphic,stratigraphic
stratigraphy,stratigraphy
streamflow,streamflow
streamflows,streamflow
strikingly,strike
stringed,string
strongly,strong
subbasin,subbasin
subbasins,subbasin
subdistrict,subdistrict
subduction,subduction
subproject,subproject
subregions,subregion
subsequent,subsequent
subsequently,subsequently
substantially,substantially
subtropical,subtropical
successful,successful
successfully,successfully
successive,successive
successively,successively
sudanese,sudanese
suddenly,suddenly
sumptuous,sumptuous
sunday,sunday
supposedly,supposedly
surely,surely
surgical,surgical
susceptible,susceptible
sustainable,sustainable
sustainably,sustainably
swiss,swiss
symbiotic,symbiotic
symbolic,symbolic
symphonic,symphonic
synchronous,synchronous
synoptic,synoptic
systematically,systematically
tanzanian,tanzanian
taxonomical,taxonomical
technical,technical
technically,technically
technological,technological
tectonic,tectonics
tectonics,tectonics
terrific,terrific
thai,thai
theoretically,theoretically
theory,theory
thermochronologic,thermochronologic
thursday,thursday
tibetan,tibetan
tidal,tidal
timeless,timeless
topographic,topographic
topographical,topographical
torrential,torrential
traditional,traditional
traditionally,traditionally
tragic,tragic
tragically,tragically
transalpine,transalpine
transborder,transborder
transboundary,transboundary
transfrontier,transfrontier
transitional,transitional
transparent,transparent
travelled,travel
treacherous,treacherous
treeless,treeless
tremendous,tremendous
triangular,triangular
tropical,tropical
trouts,trout
tuesday,tuesday
turbulent,turbulent
turkish,turkish
typically,typically
typology,typology
ultimately,ultimately
umprompted,umprompted
unattributed,unattributed
unavailable,unavailable
unbeatable,unbeatable
unbiased,unbiased
unbroken,unbroken
uncategorized,uncategorized
uncertain,uncertain
unchanged,unchanged
unclaimed,unclaimed
uncoated,uncoated
undated,undated
undefended,undefended
undeniable,undeniable
undeniably,undeniably
underfunded,underfunded
undeveloped,undeveloped
undiscovered,undiscovered
undisputable,undisputable
undivided,undivided
undoubtedly,undoubtedly
undredged,undredged
undrinkable,undrinkable
unending,unending
unequal,unequal
unexpected,unexpected
unexplored,unexplored
unfairly,unfairly
unfavourable,unfavourable
unfiltered,unfiltered
unforgettable,unforgettable
unfounded,unfounded
unframed,unframed
ungauged,ungauged
ungoverned,ungoverned
unharmed,unharmed
unidentified,unidentified
unilateral,unilateral
unilaterally,unilaterally
unincorporated,unincorporated
uninhabitable,uninhabitable
uninhabited,uninhabited
uninterrupted,uninterrupted
uninterruptedly,uninterruptedly
uniquely,uniquely
unlike,unlike
unlimited,unlimited
unlined,unlined
unloved,unloved
unmatched,unmatched
unmissable,unmissable
unmistakable,unmistakable
unmute,unmute
unnamed,unnamed
unobstructed,unobstructed
unofficial,unofficial
unparallel,unparallel
unparalleled,unparalleled
unpaved,unpaved
unplanned,unplanned
unpleasant,unpleasant
unprecedented,unprecedented
unpredictably,unpredictably
unprocessed,unprocessed
unpublished,unpublished
unpurified,unpurified
unquantified,unquantified
unquestionably,unquestionably
unreal,unreal
unregistered,unregistered
unreliable,unreliable
unremarkable,unremarkable
unreserved,unreserved
unrivalled,unrivalled
unsanitary,unsanitary
unsatisfactory,unsatisfactory
unscheduled,unscheduled
unsorted,unsorted
unspoiled,unspoiled
unspoilt,unspoilt
unstoppable,unstoppable
unsually,unsually
unsuccessful,unsuccessful
unsuitable,unsuitable
unsurmountable,unsurmountable
unsuspecting,unsuspecting
unsustainable,unsustainable
untamed,untamed
untapped,untapped
untold,untold
untouched,untouched
untoward,untoward
untraveled,untraveled
untreated,untreated
unusual,unusual
unusually,unusually
upcoming,upcoming
uppermost,uppermost
upriver,upriver
upstairs,upstairs
upstream,upstream
urbanisation,urbanization
urbanised,urbanize
urbanism,urbanism
urgent,urgent
urgent,urgent
uruguayan,uruguayan
variously,variously
vastly,vastly
veritable,veritable
versatile,versatile
vietnamese,vietnamese
viral,viral
virtual,virtual
visible,visible
vital,vital
vividly,vividly
volcanic,volcanic
volcanics,volcanic
voluminous,voluminous
voluntarily,voluntarily
vulnerable,vulnerable
waterbike,waterbike
waterbody,waterbody
watercolour,watercolor
watercolours,watercolor
waterkeeper,waterkeeper
waterlogged,waterlog
waterlogging,waterlog
watertight,watertight
waterworks,waterwork
webcam,webcam
webcams,webcam
wednesday,wednesday
whilst,whilst
wifi,wifi
wonderful,wonderful
worldwide,worldwide
worshipped,worshipped
